label,num_data_points,corr_coeff,p_value,is_significant
plot_row,764,0.605011115491,9.99900009999e-05,True
plot_column,764,0.260780622474,9.99900009999e-05,True
SF16h_HGT1_120,698,0.0327858474173,0.00879912008799,True
SF16h_HGT2_120,698,0.0294147697353,0.023497650235,False
SF16h_HGT3_120,698,0.0298677125442,0.01799820018,False
SF16h_TWT_120,698,0.0259176283726,0.0909909009099,False
SF16h_WTP_120,214,0.00513949018153,0.817818218178,False
SF16h_WTL_120,698,0.0352473380131,0.02299770023,False
SF16h_PAN1_120,214,-0.0357909915878,0.151084891511,False
SF16h_PAN2_120,214,-0.0228757035282,0.380061993801,False
SF16h_PAN3_120,214,-0.0417831233566,0.100889911009,False
2016_07_13-14_Leaf_Necrosis,665,-0.0121322428901,0.340865913409,False
2016_07_13-14_vegetation_index,526,0.0149096856926,0.38596140386,False
2016_08_05-08_vegetation_index,607,0.0664577658338,9.99900009999e-05,True
2016_07_13_BAP_Leaf_Area,572,0.00244164406231,0.882911708829,False
2016_07_13_laser_plant_height,681,0.075312879743,9.99900009999e-05,True
2016_07_light_interception,418,0.0694344056422,0.000799920007999,True
2016_08_light_interception,384,-0.0197204694017,0.276572342766,False
2016_09_light_interception,591,0.0512446209228,0.000299970003,True
gps_eastings_UTMzone17N,764,1.0,9.99900009999e-05,True
gps_northings_UTMzone17N,764,0.103496438252,9.99900009999e-05,True
