INPUTS,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,accession_photoperiod,accession_type,accession_origin,accession_race
output_label,num_samples,random_forest
ADF,698,0.349530264091
AD_ICP,698,0.272782461429
Adj_CP,698,0.576810466169
Ash,698,0.0283521017145
Cellulose,698,0.357217154647
Crude_protein,698,0.551686748766
DCAD,698,0.0609024932868
Dry_Matter,698,0.124287198568
EE_Fat,698,0.424382402272
Hemicellulose,698,0.242044883714
Lignin,698,0.266694087907
NEG_OARDC,698,0.28628620747
NEL3x_ADF,698,0.139328292636
NEL3x_OARDC,698,0.291099236983
NEM_OARDC,698,0.292171533973
NFC,698,0.479351678445
SPCP,698,0.462470412483
Starch,698,0.163570983005
TDN_OARDC,698,0.189770786235
WSC_Sugar,698,0.504862229058
aNDFom,698,0.354873224678


input_label,mean_importance,std_importance
2016_07_13-14_Leaf_Necrosis,0.0558663036781,0.0423452321934
2016_07_13-14_vegetation_index,0.0476066836604,0.0391160871594
2016_07_13_BAP_Leaf_Area,0.0552049218875,0.0441231675018
2016_07_13_laser_plant_height,0.0904139829398,0.0644371651887
2016_07_light_interception,0.0487891498937,0.039907926741
2016_08_05-08_vegetation_index,0.0530958562756,0.0428345649914
2016_08_light_interception,0.0452247229437,0.0375111881024
2016_09_light_interception,0.0870037721915,0.0615265851347
accession_origin,0.124899065383,0.0592292945959
accession_photoperiod,0.148683300571,0.129117919893
accession_race,0.0718167217592,0.0472880751446
accession_type,0.171395518817,0.12599965369
