output_label,num_samples,random_forest
ADF,698,0.332367836552
AD_ICP,698,0.264890401922
Adj_CP,698,0.577271236563
Ash,698,0.0779804272933
Cellulose,698,0.345633175816
Crude_protein,698,0.555223325365
DCAD,698,0.0704897377933
Dry_Matter,698,0.121874678058
EE_Fat,698,0.42298560151
Hemicellulose,698,0.230445034596
Lignin,698,0.282488900277
NEG_OARDC,698,0.306720625634
NEL3x_ADF,698,0.135068502874
NEL3x_OARDC,698,0.294376491799
NEM_OARDC,698,0.286756618873
NFC,698,0.460860345606
SPCP,698,0.463519920499
Starch,698,0.155847797685
TDN_OARDC,698,0.174776103528
WSC_Sugar,698,0.50477590799
aNDFom,698,0.371751385734


input_label,mean_importance,std_importance
2016_07_13-14_Leaf_Necrosis,0.0474122843152,0.0374764527766
2016_07_13-14_vegetation_index,0.0398611242159,0.0342555334749
2016_07_13_BAP_Leaf_Area,0.0470855380873,0.0391234182306
2016_07_13_laser_plant_height,0.0794312462911,0.0587720045577
2016_07_light_interception,0.0407705134219,0.0358436020677
2016_08_05-08_vegetation_index,0.0454893885876,0.0372427001441
2016_08_light_interception,0.0367178679118,0.0322356564241
2016_09_light_interception,0.074729187243,0.0563591147254
accession_origin,0.105977747965,0.0521031179398
accession_photoperiod,0.136673787005,0.123180352828
accession_race,0.0626719514867,0.044745652524
accession_type,0.159413996742,0.122830632974
gps_eastings_UTMzone17N,0.0604209483113,0.0452697018073
gps_northings_UTMzone17N,0.0633444184171,0.0491141039825
